T,M
1.000000000000000000e+02,1.000000000000000000e+00
1.125000000000000000e+02,9.959538911382980197e-01
1.250000000000000000e+02,1.000000000000000000e+00
1.375000000000000000e+02,4.812595961071837736e-01
1.500000000000000000e+02,9.825654743607222796e-01
1.625000000000000000e+02,1.000000000000000000e+00
1.750000000000000000e+02,2.820370383909411305e-01
1.875000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+02,9.686464614443086596e-01
2.125000000000000000e+02,9.468951336463961033e-01
2.250000000000000000e+02,9.598988031609165805e-01
2.375000000000000000e+02,9.704768164174544243e-01
2.500000000000000000e+02,8.885024100941683045e-01
2.625000000000000000e+02,9.362569908227644788e-01
2.750000000000000000e+02,8.805826715824079942e-01
2.875000000000000000e+02,8.658601275070445524e-01
3.000000000000000000e+02,8.232218601439103001e-01
3.125000000000000000e+02,7.436635879015179862e-01
3.250000000000000000e+02,5.759815086838165898e-01
3.375000000000000000e+02,3.643154010832803102e-01
3.500000000000000000e+02,1.967409971487159848e-01
3.625000000000000000e+02,2.368294596720461054e-01
3.750000000000000000e+02,1.072234190546608318e-01
3.875000000000000000e+02,1.221749317324202222e-01
4.000000000000000000e+02,1.163974387828875939e-01
