T,M
1.000000000000000000e+02,1.000000000000000000e+00
1.125000000000000000e+02,9.959553726197795109e-01
1.250000000000000000e+02,1.000000000000000000e+00
1.375000000000000000e+02,1.000000000000000000e+00
1.500000000000000000e+02,9.825995484347962439e-01
1.625000000000000000e+02,1.000000000000000000e+00
1.750000000000000000e+02,1.000000000000000000e+00
1.875000000000000000e+02,1.000000000000000000e+00
2.000000000000000000e+02,9.686597947776421913e-01
2.125000000000000000e+02,9.468358743871370109e-01
2.250000000000000000e+02,9.589936179757313495e-01
2.375000000000000000e+02,9.711523719730099646e-01
2.500000000000000000e+02,8.874757434275015733e-01
2.625000000000000000e+02,9.332658797116533123e-01
2.750000000000000000e+02,8.773574863972228854e-01
2.875000000000000000e+02,8.568082756551927970e-01
3.000000000000000000e+02,8.138263045883548097e-01
3.125000000000000000e+02,6.705317360496662049e-01
3.250000000000000000e+02,6.203118790541869432e-01
3.375000000000000000e+02,3.710131788610580572e-01
3.500000000000000000e+02,2.558580341857530915e-01
3.625000000000000000e+02,1.739553855979720509e-01
3.750000000000000000e+02,1.046174931287349313e-01
3.875000000000000000e+02,1.166578946953831797e-01
4.000000000000000000e+02,1.321159573014061284e-01
